ID,Eccentricity
0,40
1,39
2,42
3,36
4,36
5,35
6,35
7,32
8,30
9,40
10,31
11,35
12,33
13,27
14,34
15,29
16,41
17,32
18,42
19,33
20,32
21,32
22,36
23,35
24,34
25,44
26,27
27,45
28,32
29,45
30,35
31,36
32,37
33,29
34,26
35,34
36,36
37,37
38,46
39,50
40,33
41,28
42,29
43,29
44,34
45,34
46,48
47,43
48,47
49,32
50,44
51,34
52,37
53,31
54,38
55,38
56,33
57,31
58,44
59,31
60,46
61,32
62,33
63,44
64,32
65,41
66,35
67,30
68,30
69,30
70,32
71,36
72,34
73,46
74,32
75,32
76,42
77,45
78,35
79,47
80,43
81,44
82,32
83,39
84,36
85,34
86,40
87,39
88,33
89,31
90,35
91,30
92,30
93,37
94,34
95,41
96,42
97,46
98,40
99,34
100,42
101,37
102,42
103,37
104,35
105,26
106,37
107,46
108,35
109,32
110,47
111,48
112,39
113,41
114,29
115,27
116,30
117,36
118,36
119,29
120,36
121,26
122,40
123,29
124,42
125,41
126,29
127,41
128,33
129,39
130,28
131,30
132,38
133,30
134,40
135,40
136,38
137,47
138,48
139,28
140,29
141,31
142,30
143,30
144,43
145,38
146,40
147,38
148,39
149,37
150,34
151,34
152,33
153,38
154,35
155,32
156,41
157,31
158,36
159,49
160,29
161,31
162,43
163,37
164,32
165,32
166,49
167,40
168,30
169,34
170,31
171,38
172,29
173,37
174,40
175,45
176,32
177,32
178,27
179,39
180,38
181,42
182,30
183,46
184,33
185,46
186,33
187,30
188,31
189,33
190,32
191,36
192,30
193,32
194,41
195,29
196,35
197,33
198,35
199,45
200,30
201,47
202,33
203,31
204,38
205,33
206,29
207,28
208,37
209,29
210,40
211,41
212,31
213,28
214,37
215,39
216,39
217,34
218,33
219,32
220,34
221,32
222,51
223,29
224,41
225,43
226,45
227,43
228,33
229,37
230,31
231,30
232,29
233,32
234,31
235,36
236,31
237,33
238,36
239,35
240,51
241,44
242,45
243,43
244,31
245,50
246,40
247,34
248,45
249,48
250,28
251,39
252,30
253,44
